Research Field,Number of Authors,Average H-Index,Average i10-Index,Max H-Index,Min H-Index,Total H-Index
Tectonics.Structural Geology.Sedimentary,1,28.0,66.0,28,28,28
Ceramics And Multiferroics,1,28.0,49.0,28,28,28
Cycber Physical Systems,1,28.0,86.0,28,28,28
Health,2,28.0,76.5,51,5,56
Molecular Cellular And Structural Biology,1,28.0,55.0,28,28,28
Co-Design,2,27.5,66.5,51,4,55
Immunobiology Of Leishmania,2,27.5,52.0,30,25,55
Enzymes,3,27.33,64.33,38,14,82
Fruits,1,27.0,43.0,27,27,27
Agriculturals By-Products,1,27.0,43.0,27,27,27
Distributed Software,1,27.0,95.0,27,27,27
Plant Molecular Biology,1,27.0,58.0,27,27,27
Critical Exponents,1,27.0,56.0,27,27,27
Foret,1,27.0,63.0,27,27,27
Climate And Environnement,1,27.0,43.0,27,27,27
Manufacturing And Mechanical Engineering,1,27.0,47.0,27,27,27
Dendrochronologie,1,27.0,63.0,27,27,27
Electric Properties,1,27.0,56.0,27,27,27
Ramadan Fasting,2,27.0,49.5,29,25,54
Thin Film Solar Cells,2,27.0,72.0,40,14,54
Materials & Nanoscience Engineering,2,27.0,72.0,40,14,54
Food Science & Technology,1,27.0,70.0,27,27,27
Dynamic Software Architecture,1,27.0,95.0,27,27,27
Neutraceuticals,1,27.0,43.0,27,27,27
Characterizations And Modeling Of Thin Films,1,27.0,49.0,27,27,27
Microfluidics,1,27.0,73.0,27,27,27
Maturation,1,27.0,43.0,27,27,27
Sciences De La Vie,1,27.0,45.0,27,27,27
Pde,3,26.33,74.0,49,8,79
Electrical Properties - Manganite,1,26.0,60.0,26,26,26
Valorisation Des Agro Ressources,1,26.0,56.0,26,26,26
Environmental And Biological Applications,1,26.0,62.0,26,26,26
Health Policy,2,26.0,52.0,32,20,52
Exercise,1,26.0,66.0,26,26,26
Physiologie,5,26.0,50.2,50,11,130
Signal Processing For Communications And,1,26.0,76.0,26,26,26
Theory Stability,1,26.0,61.0,26,26,26
Qualit Du Produit,1,26.0,48.0,26,26,26
Systmes De Production,1,26.0,48.0,26,26,26
Bioprocd,1,26.0,56.0,26,26,26
- Lung Function Tests - Narghile - Exercise Tests,1,26.0,66.0,26,26,26
Multimodal Biometric,1,26.0,73.0,26,26,26
Organic-Inorganic Materials,1,26.0,95.0,26,26,26
Isotopic Geochemistry,1,26.0,42.0,26,26,26
Aticated Carbon/ Gaz Storage/ Microreactors,1,26.0,50.0,26,26,26
Lung,1,26.0,66.0,26,26,26
Theory Delay Systems,1,26.0,61.0,26,26,26
Ischmie Reperfusion,1,26.0,40.0,26,26,26
Narghile,1,26.0,66.0,26,26,26
Hydrogoelogy,1,26.0,42.0,26,26,26
Evolutionary Multiobjective Optimization,1,26.0,62.0,26,26,26
Magnetic Resonance,1,26.0,95.0,26,26,26
Hausmannite Mn3O4,1,26.0,62.0,26,26,26
Fermentation Plan D'Expriences,1,26.0,56.0,26,26,26
Medical Writing,1,26.0,66.0,26,26,26
Oxide Thin Films,1,26.0,62.0,26,26,26
Substances Naturelles,2,26.0,74.5,41,11,52
Number Theory Algebra,1,26.0,30.0,26,26,26
Microbial & Environmental Technology,1,26.0,32.0,26,26,26
Sciences Des Productions Animales,1,26.0,48.0,26,26,26
Decision Analysis,1,26.0,62.0,26,26,26
Canaux Ioniques,1,26.0,41.0,26,26,26
Plant Toxicology,1,26.0,44.0,26,26,26
Applied Physics,2,26.0,59.0,36,16,52
Toxines De Scorpion,1,26.0,41.0,26,26,26
Sensors And Biosensors,1,26.0,54.0,26,26,26
Model Order Reduction,2,25.5,93.0,46,5,51
Performance,2,25.5,75.0,51,0,51
Sciences De L'Environnement,3,25.33,44.67,36,19,76
Strcutures,1,25.0,30.0,25,25,25
Energy And Process Engineering,1,25.0,53.0,25,25,25
Descriptor System,1,25.0,57.0,25,25,25
Hsi Semantic Interpretation And Classification,1,25.0,40.0,25,25,25
Sheet Metal Forming,2,25.0,46.0,36,14,50
Optical Networks,1,25.0,93.0,25,25,25
Internet Of Drones (Iod),1,25.0,54.0,25,25,25
(Personnalized Information Retrieval,1,25.0,40.0,25,25,25
Nergies Renouvelables Et Environnement,1,25.0,29.0,25,25,25
Internet Reporting,1,25.0,38.0,25,25,25
Nergie,4,25.0,105.5,42,4,100
Fgm,2,25.0,46.0,36,14,50
Solid-State Chemistry,1,25.0,32.0,25,25,25
Natural Fibers,1,25.0,42.0,25,25,25
Intermetallic Materials And Alloys,1,25.0,32.0,25,25,25
Datascience,1,25.0,72.0,25,25,25
Physique De Matriaux Et Couches Minces,1,25.0,41.0,25,25,25
Epidemiology Of Chronic Disease,1,25.0,48.0,25,25,25
Communication Networks,1,25.0,93.0,25,25,25
Hydrogen Storage And Metal Hydrides,1,25.0,32.0,25,25,25
Biotechnologie Applique La Sant,1,25.0,40.0,25,25,25
Fault Tolerent Control,1,25.0,57.0,25,25,25
Mobile Robot Coordination,1,25.0,54.0,25,25,25
Biomedical Imaging And Signals,1,25.0,44.0,25,25,25
Solar Refrigeration,1,25.0,53.0,25,25,25
Asynchrone Machine,1,25.0,57.0,25,25,25
Armatures Composites,1,25.0,30.0,25,25,25
Thermodynamique Des Procds,1,25.0,53.0,25,25,25
Dielectric Properties,1,25.0,42.0,25,25,25
Froid Solaire,1,25.0,53.0,25,25,25
Remote Sensing (Rs),1,25.0,40.0,25,25,25
Adhrence,1,25.0,30.0,25,25,25
Digital Systems,1,25.0,68.0,25,25,25
Ai + Cyber Security,1,25.0,54.0,25,25,25
Supply Chain And Operations Management,1,25.0,41.0,25,25,25
Engineering Thermodynamics,1,25.0,53.0,25,25,25
Structures En Bton,1,25.0,30.0,25,25,25
Automatic Control-Stability-Arrow Form Matrix,1,25.0,108.0,25,25,25
Biodiversit Marine Et Espces Invasives,1,25.0,52.0,25,25,25
Mechanical Alloying And Milling,1,25.0,32.0,25,25,25
Modeling And Simulation,1,25.0,53.0,25,25,25
Matriaux Magntiques,1,25.0,61.0,25,25,25
Islamic Studies,1,25.0,56.0,25,25,25
Biologie Mdicale,1,25.0,63.0,25,25,25
Apprentissage Automatique,2,24.5,69.5,44,5,49
Extremophile Plants,2,24.5,43.0,33,16,49
Biological Activities,2,24.5,37.5,30,19,49
Dna Mutation,1,24.0,68.0,24,24,24
Apoptosis,1,24.0,32.0,24,24,24
Physique Et Chimie Des Matriaux,1,24.0,50.0,24,24,24
Ingnierie De Connaissances,2,24.0,70.0,44,4,48
Quality Control,2,24.0,31.0,36,12,48
Cytotoxicity,1,24.0,32.0,24,24,24
Biotechnologie-Physiologie Animale,1,24.0,38.0,24,24,24
Mycotoxins,1,24.0,32.0,24,24,24
Polymorphisms,1,24.0,68.0,24,24,24
Neurological Diseases,1,24.0,68.0,24,24,24
Physicochemical Of Solutions,1,24.0,45.0,24,24,24
Pattren Recognition And Biometrie,1,24.0,62.0,24,24,24
Huile D'Olive,1,24.0,41.0,24,24,24
Mitochondrial Dna,1,24.0,68.0,24,24,24
Dynamics Of Mechanical Systems,1,24.0,54.0,24,24,24
Dermatology,2,23.5,60.0,29,18,47
Magntisme,4,23.5,103.75,42,2,94
Evolutionary Machine Learning,2,23.5,33.0,32,15,47
Qos,3,23.33,97.67,55,3,70
Stereoisomerism,1,23.0,59.0,23,23,23
Security Trust And Blockchain,1,23.0,65.0,23,23,23
Automatic Summarization,1,23.0,59.0,23,23,23
Organic Electronic,1,23.0,36.0,23,23,23
Optolectronique,2,23.0,50.0,31,15,46
Genomic Instability,1,23.0,33.0,23,23,23
Question-Answering,1,23.0,59.0,23,23,23
Cell Migration/Invasion,1,23.0,33.0,23,23,23
Information Centric Network,1,23.0,65.0,23,23,23
Food Technology,1,23.0,56.0,23,23,23
Multi-Agent Simulation,1,23.0,39.0,23,23,23
Reactivity,1,23.0,59.0,23,23,23
Sciences Du Sport,2,23.0,37.0,32,14,46
Monney,1,23.0,47.0,23,23,23
Crisis Management,1,23.0,39.0,23,23,23
Hierarchical Routing,1,23.0,55.0,23,23,23
Economic & Financial Crisis,1,23.0,45.0,23,23,23
Pesticides,2,23.0,34.0,24,22,46
Sensors & Biosensors,1,23.0,45.0,23,23,23
Food Engineering,4,23.0,39.25,35,11,92
Applied Differential Geometry,1,23.0,35.0,23,23,23
Biomthanisation Et Synthse Organique,1,23.0,37.0,23,23,23
Respence Surface Methodology,1,23.0,42.0,23,23,23
Differential Equations,1,23.0,49.0,23,23,23
Arabic Speech Processing,1,23.0,59.0,23,23,23
Investment Strategies,1,23.0,45.0,23,23,23
Cell Death Subroutine,1,23.0,33.0,23,23,23
Quartz Cristal Microbalance,1,23.0,36.0,23,23,23
Matrix Analysis,1,23.0,35.0,23,23,23
Uavs And Vehicular Networks,1,23.0,65.0,23,23,23
Cologie Marine,1,23.0,61.0,23,23,23
Cyber Phy,1,23.0,65.0,23,23,23
Procds Environnementaux,1,23.0,31.0,23,23,23
Chemical Physics,1,23.0,59.0,23,23,23
Automatic Translation,1,23.0,59.0,23,23,23
Wireless And Mobile Networks,1,23.0,65.0,23,23,23
Surface Engineering And Physics Of,1,23.0,45.0,23,23,23
Biostatistic,1,23.0,42.0,23,23,23
Nanosensors,1,23.0,41.0,23,23,23
Natural Resources Management,1,23.0,34.0,23,23,23
Anthropologie,3,23.0,33.67,29,11,69
Dessalement,2,22.5,39.0,34,11,45
Biophysics,3,22.33,51.67,36,5,67
Abiotic Stresses,3,22.33,35.0,33,16,67
Fixed Point Theory,4,22.25,56.0,49,11,89
Cancer,9,22.22,52.56,40,4,200
Psychodidae,1,22.0,44.0,22,22,22
Contaminants,1,22.0,57.0,22,22,22
Model Based Approaches,1,22.0,32.0,22,22,22
Optical Properties,1,22.0,38.0,22,22,22
Disclosure,1,22.0,29.0,22,22,22
Sol-Gel,1,22.0,38.0,22,22,22
Hydrothermal Synthesis,1,22.0,38.0,22,22,22
Laboratoire Signal Image Et Technologies De,1,22.0,51.0,22,22,22
Phlebotomus Fever,1,22.0,44.0,22,22,22
Ecology And Biology,1,22.0,57.0,22,22,22
Proprits Optiques,1,22.0,78.0,22,22,22
Vector Borne Diseases,1,22.0,33.0,22,22,22
Matriaux Mechanical Alloying Nanomaterials,1,22.0,41.0,22,22,22
Cancers Orl,1,22.0,44.0,22,22,22
Croissance Cristalline,1,22.0,78.0,22,22,22
Hiv/Aids,1,22.0,57.0,22,22,22
Neurology,7,22.0,45.86,58,1,154
Lectronique Embarqu,1,22.0,63.0,22,22,22
Microalgae,1,22.0,32.0,22,22,22
Human Nutrition,1,22.0,33.0,22,22,22
Proprits Lectriques,1,22.0,78.0,22,22,22
Microwaves Circuits,1,22.0,77.0,22,22,22
Biochemical Parameters,1,22.0,36.0,22,22,22
Leishmania,1,22.0,44.0,22,22,22
Surdits Gntiques Enfant Et Adultes,1,22.0,44.0,22,22,22
Phlebovirus,1,22.0,44.0,22,22,22
Reconfiguration Dynamique Des Fpga,1,22.0,63.0,22,22,22
Medicial Plants,1,22.0,36.0,22,22,22
Biologic And Photovoltaic Applications,1,22.0,41.0,22,22,22
Mdecine D'Urgence,1,22.0,30.0,22,22,22
Free-Living Nematodes,1,22.0,57.0,22,22,22
Semi-Conducteurs,1,22.0,78.0,22,22,22
Applied Biochemistry,1,22.0,28.0,22,22,22
Environnemental Biotechnology,1,22.0,32.0,22,22,22
Phosphors For Display,1,22.0,41.0,22,22,22
Water Pipeline Monitoring,1,22.0,32.0,22,22,22
Micro Grids,1,22.0,37.0,22,22,22
Digital Control Of Power Converters,1,22.0,37.0,22,22,22
Metabolic Syndrome,1,22.0,33.0,22,22,22
Toxicity,1,22.0,36.0,22,22,22
Algebras,1,22.0,40.0,22,22,22
Exercices Training,1,22.0,34.0,22,22,22
Veterinary Bacteriology,1,22.0,33.0,22,22,22
Ngs,1,22.0,32.0,22,22,22
Atherosclerosis,1,22.0,33.0,22,22,22
Bacteriology,1,22.0,42.0,22,22,22
Genetique Et Biologie De La,1,22.0,28.0,22,22,22
Antimicrobial Resistance,1,22.0,33.0,22,22,22
Infectious Diseases,3,21.67,38.0,30,10,65
Computational Intelligence,7,21.57,90.0,49,3,151
Physiologie Animale,2,21.5,40.0,30,13,43
Biotechnologie Microbienne,2,21.5,38.5,36,7,43
Dielectrics,2,21.5,36.0,25,18,43
Capteurs,2,21.5,44.0,25,18,43
Phytochemistry,2,21.5,33.5,30,13,43
Environmental Chemistry,3,21.33,41.0,30,7,64
Biopolymers,3,21.33,42.33,28,10,64
Recherche Scientifique,6,21.17,46.17,44,3,127
Bulk Of Perovskite Materials,1,21.0,39.0,21,21,21
Parallel And Distributed Systems,1,21.0,53.0,21,21,21
Gnie Civil - Gotechnique,1,21.0,44.0,21,21,21
Recherche,1,21.0,24.0,21,21,21
Natural Language Processing (Arabic),1,21.0,57.0,21,21,21
Materials Chemistry,2,21.0,42.5,26,16,42
Economic Complexity,1,21.0,39.0,21,21,21
Biodiversity,6,21.0,40.83,32,14,126
Image Forensics,1,21.0,27.0,21,21,21
Concurrent Design,1,21.0,39.0,21,21,21
Enfermagem,1,21.0,65.0,21,21,21
Evidence Based Medicine,1,21.0,41.0,21,21,21
Magnetism,1,21.0,29.0,21,21,21
Pdf Estimation,1,21.0,41.0,21,21,21
Bean-Rodbell Model Simulation,1,21.0,39.0,21,21,21
Fluide Thermique,1,21.0,29.0,21,21,21
Pharmaceutics Endocrine Disruptors,1,21.0,38.0,21,21,21
Meiofauna,1,21.0,38.0,21,21,21
Behavioral Theory,1,21.0,42.0,21,21,21
Modelling And Simulation,2,21.0,37.5,37,5,42
Plant Abiotic Stress,1,21.0,25.0,21,21,21
Zebrafish,1,21.0,38.0,21,21,21
Social Media Mining,1,21.0,57.0,21,21,21
Synyhse Organique Slective & Activit,1,21.0,49.0,21,21,21
Medicinal Chemistry,2,21.0,38.5,28,14,42
Economic Geography And Social Economics,1,21.0,39.0,21,21,21
State Estimation Theory,1,21.0,34.0,21,21,21
Parallel And Distributed Data Mining,1,21.0,53.0,21,21,21
Thin-Films,1,21.0,39.0,21,21,21
Behaviors,1,21.0,38.0,21,21,21
Emh,1,21.0,42.0,21,21,21
Spectroscopy,5,20.8,46.2,30,12,104
Molcules Bio-Actives,2,20.5,28.0,37,4,41
Dermatologie,2,20.5,51.0,32,9,41
Lipides,2,20.5,34.5,29,12,41
Ornithologie,1,20.0,36.0,20,20,20
Nanomatetrials,1,20.0,35.0,20,20,20
Plankton Taxonomy,1,20.0,41.0,20,20,20
Preference,1,20.0,25.0,20,20,20
Cactus,1,20.0,28.0,20,20,20
Constraint Programming,2,20.0,42.5,35,5,40
Quantum Information Science,1,20.0,33.0,20,20,20
Research Policy,1,20.0,44.0,20,20,20
Toxicologie Des Contaminants Alimentaires,1,20.0,28.0,20,20,20
Protection Des Plantes,1,20.0,47.0,20,20,20
Lutte Biologique,1,20.0,47.0,20,20,20
Antennas And Rf Circuits,1,20.0,46.0,20,20,20
Biofuels And Fuel Cells,1,20.0,25.0,20,20,20
Maladies Cardiovasculaires,1,20.0,37.0,20,20,20
Networking,4,20.0,75.5,55,4,80
Cellules Pv,1,20.0,39.0,20,20,20
Biocatalysis & Bioindustry,1,20.0,29.0,20,20,20
Electrical Properties,2,20.0,34.0,22,18,40
Organizational Resilience,1,20.0,26.0,20,20,20
Hydrogeochemistry,1,20.0,40.0,20,20,20
Microbial Ecology,2,20.0,29.5,22,18,40
Bibliometrics,1,20.0,44.0,20,20,20
De Production/Systme D'Information / Gnie,1,20.0,25.0,20,20,20
Gnie Mcanique - Tribologie- Matriaux,1,20.0,27.0,20,20,20
Electronique Numerique Vido,1,20.0,62.0,20,20,20
Ractivit En Chimie Organique Physique,1,20.0,42.0,20,20,20
Biological Control,2,20.0,35.0,26,14,40
Vehicular Communications,1,20.0,37.0,20,20,20
Inequality,1,20.0,25.0,20,20,20
Stress Oxydant,1,20.0,28.0,20,20,20
Biomolecules,1,20.0,28.0,20,20,20
Otft,1,20.0,39.0,20,20,20
Media And Political Discourse Analysis,1,20.0,25.0,20,20,20
Agricultural Investment,1,20.0,33.0,20,20,20
Zooplankton,1,20.0,41.0,20,20,20
Biogeochemistry,1,20.0,23.0,20,20,20
Sustainable Nanotechnology,1,20.0,35.0,20,20,20
Wireless Communications And Networks,1,20.0,33.0,20,20,20
Nano/Micro Sensors,1,20.0,35.0,20,20,20
Predictive Intelligence,1,20.0,43.0,20,20,20
Pharmacogntique,1,20.0,37.0,20,20,20
Scientific Imaging,1,20.0,43.0,20,20,20
Ravageurs D'Importance Conomique,1,20.0,47.0,20,20,20
Animal Breeding And Genetics,1,20.0,34.0,20,20,20
Graphmes Et Matriaux 2D,1,20.0,39.0,20,20,20
Social Choice,1,20.0,25.0,20,20,20
Green Technologies,1,20.0,33.0,20,20,20
Early Diagenesis,1,20.0,23.0,20,20,20
Agricultural Trade,1,20.0,33.0,20,20,20
Polymers And Organic Electronic,1,20.0,43.0,20,20,20
Lutte Intgre,1,20.0,47.0,20,20,20
Multispecies Reactive Transport,1,20.0,40.0,20,20,20
Domestic Investment,1,20.0,33.0,20,20,20
